Key,en,es,ar,fr
Add Feedback,Add Feedback,Agregar comentarios,إضافة تعليقات,Ajouter des commentaires
Add Service,Add Service,Agregar servicio,أضف الخدمة,Ajouter un service
Add Solution,Add Solution,Agregar solución,أضف الحل,Ajouter une solution
Add Admin,Add Admin,Agregar administrador,إضافة المشرف,Ajouter un administrateur
countryFlag,countryFlag,paísbandera,علم البلد,paysDrapeau
Admin Profile Image,Admin Profile Image,Imagen de perfil de administrador,صورة الملف الشخصي للمشرف,Image du profil d'administrateur
Generate,Generate,Generar,يولد,Générer
Select Role,Select Role,Seleccionar rol,حدد الدور,Sélectionnez un rôle
Add Currency,Add Currency,Agregar moneda,أضف العملة,Ajouter une devise
Country Flag,Country Flag,Bandera del país,علم الدولة,Drapeau du pays
Add New Screen,Add New Screen,Agregar nueva pantalla,إضافة شاشة جديدة,Ajouter un nouvel écran
Sub Title,Sub Title,Subtítulo,العنوان الفرعي,Sous-titre
Add New Permission,Add New Permission,Agregar nuevo permiso,إضافة إذن جديد,Ajouter une nouvelle autorisation
Permission Name,Permission Name,Nombre del permiso,اسم الإذن,Nom de l'autorisation
selectRole,selectRole,seleccionarRol,حدد الدور,selectRole
Choose One,Choose One,Elige uno,اختر واحدًا,Choisissez-en un
Assign Permission Page/Task,Assign Permission Page/Task,Asignar página/tarea de permiso,تعيين صفحة/مهمة إذن,Attribuer une page/tâche d'autorisation
Edit Permission,Edit Permission,Editar permiso,تحرير إذن,Modifier l'autorisation
Add New Role,Add New Role,Agregar nuevo rol,إضافة دور جديد,Ajouter un nouveau rôle
Role Name,Role Name,Nombre del rol,اسم الدور,Nom du rôle
Edit Role,Edit Role,Editar rol,تحرير الدور,Modifier le rôle
Edit Admin,Edit Admin,Editar administrador,تحرير المشرف,Modifier l'administrateur
Edit Currency,Edit Currency,Editar moneda,تحرير العملة,Modifier la devise
Edit Screen,Edit Screen,Editar pantalla,تحرير الشاشة,Écran Modifier
Update Extension,Update Extension,Actualizar extensión,تحديث الامتداد,Mettre à jour l'extension
Rejejct KYC,Rejejct KYC,Rechazar KYC,رفض اعرف عميلك,Rejeter KYC
Explain Rejection Reason,Explain Rejection Reason,Explicar el motivo del rechazo,شرح سبب الرفض,Expliquer la raison du rejet
Send Email,Send Email,Enviar correo electrónico,إرسال البريد الإلكتروني,Envoyer un e-mail
placeholder,placeholder,marcador de posición,العنصر النائب,espace réservé
Write Here,Write Here,Escribe aquí,اكتب هنا,Écrivez ici
Close,Close,Cerca,يغلق,Fermer
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار,Envoyer un courrier test
Send mail to all subscribers,Send mail to all subscribers,Enviar correo a todos los suscriptores,إرسال البريد إلى جميع المشتركين,Envoyer un mail à tous les abonnés
Details,Details,Detalles,تفاصيل,Détails
Global Setting for,Global Setting for,Configuración global para,الإعداد العالمي ل,Paramètre global pour
in bellow,in bellow,abajo,في رفع الصوت عاليا,en dessous
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ,Limite de montant
Charge,Charge,Cargar,تكلفة,Charge
Total Supported Currency,Total Supported Currency,Moneda total admitida,إجمالي العملة المدعومة,Devise totale prise en charge
Collect Data,Collect Data,Recopilar datos,جمع البيانات,Collecter des données
fas fa-plus,fas fa-plus,fas fa-plus,فاس فا بلس,fas fa-plus
Field Types,Field Types,Tipos de campo,أنواع الحقول,Types de champs
"This ticket is solved, you can","This ticket is solved, you can","Este ticket está solucionado, puedes",تم حل هذه التذكرة، يمكنك,"Ce ticket est résolu, vous pouvez"
Pending Tickets,Pending Tickets,Entradas pendientes,التذاكر المعلقة,Billets en attente
Active Tickets,Active Tickets,Entradas activas,التذاكر النشطة,Billets actifs
Solved Tickets,Solved Tickets,Entradas resueltas,تذاكر محلولة,Billets résolus
All Tickets,All Tickets,Todas las entradas,جميع التذاكر,Tous les billets
Action,Action,Acción,فعل,Action
Mark as Solved,Mark as Solved,Marcar como resuelto,"وضع علامة ""محلول"".",Marquer comme résolu
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم,Détails de l'assistance
Description,Description,Descripción,وصف,Description
Attachments,Attachments,Adjuntos,المرفقات,Pièces jointes
Are you sure to mark as solved (Token:,Are you sure to mark as solved (Token:,¿Estás seguro de marcar como resuelto (Token:,"هل أنت متأكد من وضع علامة ""تم الحل"" (الرمز المميز:",Êtes-vous sûr de marquer comme résolu (Jeton :
Because it,Because it,porque,لأنه,Parce que c'est
Fixed Charge,Fixed Charge,Cargo fijo,تهمة ثابتة,Frais fixes
Percent Charge,Percent Charge,Cargo porcentual,تهمة في المئة,Pourcentage de frais
Range,Range,Rango,يتراوح,Gamme
Minimum Amount,Minimum Amount,Cantidad Mínima,الحد الأدنى للمبلغ,Montant minimum
Maximum Amount,Maximum Amount,Monto Máximo,الحد الأقصى للمبلغ,Montant maximum
Limit,Limit,Límite,حد,Limite
Daily Transfer Limit,Daily Transfer Limit,Límite de transferencia diaria,حد التحويل اليومي,Limite de transfert quotidienne
Monthly Transfer Limit,Monthly Transfer Limit,Límite de transferencia mensual,حد التحويل الشهري,Limite de transfert mensuelle
Admin,Admin,Administración,مسؤل,Administrateur
Developed by,Developed by,Desarrollado por,تم تطويره بواسطة,Développé par
Reset To Default,Reset To Default,Restablecer los valores predeterminados,إعادة التعيين إلى الافتراضي,Réinitialiser aux valeurs par défaut
Clear All,Clear All,Borrar todo,مسح الكل,Tout effacer
No new notification found!,No new notification found!,¡No se encontró ninguna notificación nueva!,لم يتم العثور على إشعار جديد!,Aucune nouvelle notification trouvée !
Google 2FA,Google 2FA,2FA de Google,جوجل 2FA,Google 2FA
TRX ID,TRX ID,Identificación TRX,معرف تي آر إكس,ID TRX
Gateway,Gateway,Puerta,بوابة,Porte
Time,Time,Tiempo,وقت,Temps
URI,URI,URI,URI,URI
Are you sure to delete this permission?,Are you sure to delete this permission?,¿Estás seguro de eliminar este permiso?,هل أنت متأكد من حذف هذا الإذن؟,Êtes-vous sûr de supprimer cette autorisation ?
All Admin Roles,All Admin Roles,Todas las funciones de administrador,جميع أدوار المشرف,Tous les rôles d'administrateur
Asign Admin,Asign Admin,Asignar administrador,تعيين المشرف,Désigner un administrateur
Are you sure to delete this role,Are you sure to delete this role,¿Estás seguro de eliminar este rol?,هل أنت متأكد من حذف هذا الدور,Êtes-vous sûr de supprimer ce rôle
All Permissions,All Permissions,Todos los permisos,جميع الأذونات,Toutes les autorisations
Are you sure to delete this permission? It will also delete all permissions against this role.,Are you sure to delete this permission? It will also delete all permissions against this role.,¿Estás seguro de eliminar este permiso? También eliminará todos los permisos de este rol.,هل أنت متأكد من حذف هذا الإذن؟ سيتم أيضًا حذف كافة الأذونات مقابل هذا الدور.,Êtes-vous sûr de supprimer cette autorisation ? Cela supprimera également toutes les autorisations pour ce rôle.
Are you sure to remove,Are you sure to remove,¿Estás seguro de eliminar?,هل أنت متأكد من إزالة,Êtes-vous sûr de supprimer
Are you sure to,Are you sure to,¿Estás seguro de,هل أنت متأكد من ذلك,Êtes-vous sûr de
this screen?,this screen?,esta pantalla?,هذه الشاشة؟,cet écran ?
App Version,App Version,Versión de la aplicación,إصدار التطبيق,Version de l'application
Reply,Reply,Responder,رد,Répondre
Created At,Created At,Creado en,تم الإنشاء في,Créé à
Replyed,Replyed,Respondido,تم الرد,A répondu
Not Replyed,Not Replyed,No respondido,لم يتم الرد,Pas de réponse
Send Reply,Send Reply,Enviar respuesta,إرسال الرد,Envoyer la réponse
Policy Link,Policy Link,Enlace de política,رابط السياسة,Lien vers la politique
Gateways,Gateways,Puertas de enlace,بوابات,Passerelles
Crypto Wallets,Crypto Wallets,Carteras criptográficas,محافظ التشفير,Portefeuilles cryptographiques
Generate Wallets,Generate Wallets,Generar carteras,إنشاء محافظ,Générer des portefeuilles
Wallet not present in some currency/coin.,Wallet not present in some currency/coin.,La billetera no está presente en alguna moneda/moneda.,المحفظة غير موجودة في بعض العملات/العملات المعدنية.,Portefeuille non présent dans certaines devises/pièces.
Ex:,Ex:,Ex:,السابق:,Ex:
Click the generate wallets button to create dynamically wallets.,Click the generate wallets button to create dynamically wallets.,Haga clic en el botón generar billeteras para crear billeteras dinámicamente.,انقر فوق زر إنشاء محافظ لإنشاء محافظ ديناميكيًا.,Cliquez sur le bouton Générer des portefeuilles pour créer des portefeuilles dynamiquement.
Add Wallet,Add Wallet,Agregar billetera,أضف المحفظة,Ajouter un portefeuille
Xpub,Xpub,xpub,إكسبوب,Xpub
Balance,Balance,Balance,توازن,Équilibre
Incoming Balance,Incoming Balance,Saldo entrante,الرصيد الوارد,Solde entrant
Outgoing Balance,Outgoing Balance,Saldo saliente,الرصيد الصادر,Solde sortant
Incoming Pending Balance,Incoming Pending Balance,Saldo pendiente entrante,الرصيد المعلق الوارد,Solde en attente entrant
Outgoing Pending Balance,Outgoing Pending Balance,Saldo pendiente saliente,الرصيد المعلق الصادر,Solde en attente sortant
This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,Esta moneda está en mantenimiento o necesita generar una billetera. Puede agregar billetera manualmente haciendo clic en el botón Agregar.,"هذه العملة تحت الصيانة أو تحتاج إلى إنشاء محفظة. يمكنك إضافة المحفظة يدويًا عن طريق النقر فوق زر ""إضافة"".",Cette pièce est en cours de maintenance ou doit générer un portefeuille. Vous pouvez ajouter un portefeuille manuellement en cliquant sur le bouton Ajouter.
Add New Wallet,Add New Wallet,Agregar nueva billetera,إضافة محفظة جديدة,Ajouter un nouveau portefeuille
Delete Wallet,Delete Wallet,Eliminar billetera,حذف المحفظة,Supprimer le portefeuille
Are you sure to delete this wallet?,Are you sure to delete this wallet?,¿Estás seguro de eliminar esta billetera?,هل أنت متأكد من حذف هذه المحفظة؟,Êtes-vous sûr de supprimer ce portefeuille ?
Gateway Edit,Gateway Edit,Puerta de enlace Editar,تحرير البوابة,Passerelle Modifier
Incoming Transactions,Incoming Transactions,Transacciones entrantes,المعاملات الواردة,Transactions entrantes
Transacitons,Transacitons,Transacciones,Transacitons,Transactions
Txn Hash,Txn Hash,hash txn,تكسن هاش,Hachage Txn
Are you sure to delete,Are you sure to delete,¿Estás seguro de eliminar?,هل أنت متأكد من الحذف,Êtes-vous sûr de supprimer
currency?,currency?,¿divisa?,عملة؟,devise?
Total Visitors,Total Visitors,Visitantes totales,إجمالي الزوار,Nombre total de visiteurs
New,New,Nuevo,جديد,Nouveau
Today,Today,Hoy,اليوم,Aujourd'hui
Total,Total,Total,المجموع,Total
Total Profit,Total Profit,Beneficio total,إجمالي الربح,Bénéfice total
This Day,This Day,este dia,هذا اليوم,Ce jour
This Month,This Month,este mes,هذا الشهر,Ce mois-ci
Solved,Solved,Resuelto,تم الحل,Résolu
Pending Add Money,Pending Add Money,Pendiente Agregar dinero,في انتظار إضافة المال,En attente d'ajouter de l'argent
Pending Money Out,Pending Money Out,Pendiente de salida de dinero,في انتظار خروج الأموال,En attente de retrait d'argent
Add Money Analytics,Add Money Analytics,Agregar análisis de dinero,إضافة تحليلات المال,Ajouter des analyses d'argent
Send Report,Send Report,Enviar informe,إرسال التقرير,Envoyer le rapport
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث المعاملات,Dernières transactions
Import,Import,Importar,يستورد,Importer
Download,Download,Descargar,تحميل,Télécharger
Are you sure to delete this language?,Are you sure to delete this language?,¿Estás seguro de eliminar este idioma?,هل أنت متأكد من حذف هذه اللغة؟,Etes-vous sûr de supprimer cette langue ?
Language Keywords of English,Language Keywords of English,Palabras clave del idioma inglés,الكلمات الرئيسية للغة الإنجليزية,Mots-clés de langue anglais
Update Gateway,Update Gateway,Actualizar puerta de enlace,تحديث البوابة,Mettre à jour la passerelle
Add Automatic Gateway (Add Money),Add Automatic Gateway (Add Money),Agregar puerta de enlace automática (Agregar dinero),إضافة بوابة تلقائية (إضافة أموال),Ajouter une passerelle automatique (Ajouter de l'argent)
gatewayImage,gatewayImage,puerta de enlaceImagen,gateImage,passerelleImage
Gateway Image,Gateway Image,Imagen de puerta de enlace,صورة البوابة,Image de la passerelle
Genarate Fields,Genarate Fields,Campos generados,توليد الحقول,Générer des champs
2FA Settings,2FA Settings,Configuración 2FA,إعدادات 2FA,Paramètres 2FA
Disable Two Factor Authenticator,Disable Two Factor Authenticator,Deshabilitar el autenticador de dos factores,تعطيل عامل المصادقة الثنائية,Désactiver l'authentificateur à deux facteurs
Don,Don,Don,اِتَّشَح,Enfiler
t login in your account.,t login in your account.,No inicie sesión en su cuenta.,تسجيل الدخول في حسابك.,Ne vous connectez pas à votre compte.
Enable Two Factor Authenticator,Enable Two Factor Authenticator,Habilitar el autenticador de dos factores,تمكين عامل المصادقة الثنائية,Activer l'authentificateur à deux facteurs
2FA (Powered by google)?,2FA (Powered by google)?,2FA (Desarrollado por Google)?,2FA (مدعوم من جوجل)؟,2FA (propulsé par Google) ?
Save & Change,Save & Change,Guardar y cambiar,حفظ وتغيير,Enregistrer et modifier
Profile Image:,Profile Image:,Imagen de perfil:,صورة الملف الشخصي:,Image de profil :
Select State,Select State,Seleccionar estado,اختر الدولة,Sélectionnez l'État
Select City,Select City,Seleccionar ciudad,اختر المدينة,Sélectionnez la ville
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificaciones push del navegador,تكوين إشعارات المتصفح,Configuration des notifications push du navigateur
Method,Method,Método,طريقة,Méthode
Select Method,Select Method,Seleccionar método,حدد الطريقة,Sélectionnez la méthode
Instance ID,Instance ID,ID de instancia,معرف المثيل,ID d'instance
Primary key,Primary key,clave primaria,المفتاح الأساسي,Clé primaire
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/notificación interna,البث/تكوين الإخطار الداخلي,Configuration de diffusion/notification interne
APP ID,APP ID,ID DE APLICACIÓN,معرف التطبيق,Identifiant de l'application
Secret key,Secret key,clave secreta,المفتاح السري,Clé secrète
Cluster,Cluster,Grupo,تَجَمَّع,Grappe
Notification Body,Notification Body,Organismo de notificación,هيئة الإخطار,Corps de notification
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإخطارات,Dernières notifications
Body,Body,Cuerpo,جسم,Corps
Version,Version,Versión,إصدار,Version
App Environment,App Environment,Entorno de aplicación,بيئة التطبيق,Environnement de l'application
App Debug,App Debug,Depuración de aplicaciones,تصحيح أخطاء التطبيق,Débogage de l'application
App Mode,App Mode,Modo de aplicación,وضع التطبيق,Mode application
Database Connection,Database Connection,Conexión de base de datos,اتصال قاعدة البيانات,Connexion à la base de données
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات,Hôte de base de données
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات,Port de base de données
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات,Nom de la base de données
Database Username,Database Username,Nombre de usuario de la base de datos,اسم مستخدم قاعدة البيانات,Nom d'utilisateur de la base de données
PHP Version,PHP Version,Versión PHP,نسخة PHP,Version PHP
Laravel Version,Laravel Version,Versión Laravel,نسخة لارافيل,Version Laravel
Server Software,Server Software,Software de servidor,برامج الخادم,Logiciel serveur
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP للخادم,Adresse IP du serveur
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم,Protocole du serveur
Timezone,Timezone,Zona horaria,المنطقة الزمنية,Fuseau horaire
Email Send Method*,Email Send Method*,Método de envío de correo electrónico*,طريقة إرسال البريد الإلكتروني*,Méthode d'envoi d'e-mail*
SMTP,SMTP,SMTP,SMTP,SMTP
Send Mail,Send Mail,Enviar correo,إرسال البريد,Envoyer un courrier
Host,Host,Anfitrión,يستضيف,Hôte
Port,Port,Puerto,ميناء,Port
Encryption,Encryption,Cifrado,التشفير,Cryptage
Email Body,Email Body,Cuerpo del correo electrónico,هيئة البريد الإلكتروني,Corps de l'e-mail
Field Name,Field Name,Nombre del campo,اسم الحقل,Nom du champ
Max File Size (mb),Max File Size (mb),Tamaño máximo de archivo (mb),الحد الأقصى لحجم الملف (ميجابايت),Taille maximale du fichier (Mo)
File Extension,File Extension,Extensión de archivo,امتداد الملف,Extension du fichier
Min Character,Min Character,Carácter mínimo,حرف مين,Caractère minimum
Max Character,Max Character,Carácter máximo,شخصية ماكس,Caractère maximum
Field Necessity,Field Necessity,Necesidad de campo,ضرورة المجال,Nécessité sur le terrain
Page Name,Page Name,Nombre de la página,اسم الصفحة,Nom de la page
Add Category,Add Category,Agregar categoría,أضف فئة,Ajouter une catégorie
Update Category,Update Category,Actualizar categoría,تحديث الفئة,Catégorie de mise à jour
Category,Category,Categoría,فئة,Catégorie
Tags,Tags,Etiquetas,العلامات,Balises
Heading,Heading,Título,عنوان,Titre
Sub Heading,Sub Heading,Subtítulo,العنوان الفرعي,Sous-titre
Button Name,Button Name,Nombre del botón,اسم الزر,Nom du bouton
Button Link,Button Link,Enlace de botón,رابط الزر,Lien du bouton
Add Item,Add Item,Agregar artículo,إضافة عنصر,Ajouter un article
Edit Item,Edit Item,Editar artículo,تحرير العنصر,Modifier l'élément
Icon,Icon,Icono,رمز,Icône
Announcement Dashboard,Announcement Dashboard,Panel de anuncios,لوحة الإعلانات,Tableau de bord des annonces
Total Category,Total Category,Categoría total,الفئة الإجمالية,Catégorie totale
Active Category,Active Category,Categoría activa,الفئة النشطة,Catégorie active
Total Announcement,Total Announcement,Anuncio total,إعلان إجمالي,Annonce totale
Active Announcement,Active Announcement,Anuncio activo,إعلان فعال,Annonce active
Video Link,Video Link,Enlace de vídeo,رابط الفيديو,Lien vidéo
Designation,Designation,Designación,تعيين,Désignation
Comment,Comment,Comentario,تعليق,Commentaire
Update Feedback,Update Feedback,Actualizar comentarios,تحديث التعليقات,Commentaires sur la mise à jour
Star,Star,Estrella,نجم,Étoile
Contact Section,Contact Section,Sección de contacto,قسم الاتصال,Rubrique Contact
Social Links,Social Links,Enlaces sociales,الروابط الاجتماعية,Liens sociaux
Link,Link,Enlace,وصلة,Lien
Edit Glance,Edit Glance,Editar vistazo,تحرير لمحة,Modifier le coup d'œil
Content,Content,Contenido,محتوى,Contenu
Edit Service,Edit Service,Editar servicio,تحرير الخدمة,Modifier le service
Edit Solution,Edit Solution,Editar solución,تحرير الحل,Modifier la solution
Send Mail to All,Send Mail to All,Enviar correo a todos,إرسال البريد للجميع,Envoyer du courrier à tous
Ticket ID,Ticket ID,ID del billete,معرف التذكرة,Identifiant du billet
Support Ticket,Support Ticket,Boleto de soporte,تذكرة الدعم,Billet d'assistance
User Type,User Type,Tipo de usuario,نوع المستخدم,Type d'utilisateur
Last Reply,Last Reply,Última respuesta,الرد الأخير,Dernière réponse
Slug,Slug,Babosa,سبيكة,Limace
Add link,Add link,Agregar enlace,إضافة رابط,Ajouter un lien
Are you sure to delete this link?,Are you sure to delete this link?,¿Estás seguro de eliminar este enlace?,هل أنت متأكد من حذف هذا الرابط؟,Êtes-vous sûr de supprimer ce lien ?
Current Balance,Current Balance,Saldo actual,الرصيد الحالي,Solde actuel
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات,Total des transactions
Receive,Receive,Recibir,يستلم,Recevoir
Total Money Out,Total Money Out,Salida total de dinero,إجمالي الأموال الخارجة,Total des sorties d'argent
Canceled,Canceled,Cancelado,تم الإلغاء,Annulé
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم,Présentation de l'utilisateur
Add/Subtract Balance,Add/Subtract Balance,Sumar/Restar Saldo,إضافة/طرح الرصيد,Ajouter/soustraire le solde
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو,Connectez-vous en tant que membre
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني,Journaux de courrier électronique
Last Login,Last Login,Último inicio de sesión,تسجيل الدخول الأخير,Dernière connexion
Information of User,Information of User,Información del Usuario,معلومات المستخدم,Informations de l'utilisateur
Edit KYC,Edit KYC,Editar KYC,تحرير اعرف عميلك,Modifier KYC
Information of Logs,Information of Logs,Información de registros,معلومات السجلات,Informations sur les journaux
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!,Fichier introuvable!
Approve,Approve,Aprobar,يعتمد,Approuver
Reject,Reject,Rechazar,يرفض,Rejeter
KYC Information not submitted yet,KYC Information not submitted yet,Información KYC aún no enviada,لم يتم تقديم معلومات KYC بعد,Informations KYC non encore soumises
Are you sure to approve,Are you sure to approve,¿Estás seguro de aprobar?,هل أنت متأكد من الموافقة,Etes-vous sûr d'approuver
KYC information.,KYC information.,Información KYC.,"معلومات ""اعرف عميلك"".",Informations KYC.
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات دخول المستخدم,Journaux de connexion des utilisateurs
SL.,SL.,SL.,إس إل.,SL.
IP,IP,IP,الملكية الفكرية,IP
MAC,MAC,IMPERMEABLE,ماك,MAC
Location,Location,Ubicación,موقع,Emplacement
Browser | OS,Browser | OS,Navegador | SO,المتصفح | نظام التشغيل,Navigateur | Système d'exploitation
Login at,Login at,Inicia sesión en,تسجيل الدخول في,Connectez-vous à
USER,USER,USUARIO,مستخدم,UTILISATEUR
Send,Send,Enviar,يرسل,Envoyer
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة),Expéditeur de courrier (méthode)
Site Base Color,Site Base Color,Color base del sitio,اللون الأساسي للموقع,Couleur de base du site
Site Secondary Color,Site Secondary Color,Color secundario del sitio,اللون الثانوي للموقع,Couleur secondaire du site
Select Timezone,Select Timezone,Seleccionar zona horaria,حدد المنطقة الزمنية,Sélectionnez le fuseau horaire
Site Name,Site Name,Nombre del sitio,اسم الموقع,Nom du site
Site Title,Site Title,Título del sitio,عنوان الموقع,Titre du site
OTP Expiration,OTP Expiration,Vencimiento de la OTP,انتهاء صلاحية OTP,Expiration du OTP
Web Version,Web Version,Versión Web,نسخة الويب,Version Internet
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط,Paramètres d'activation
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),الشعار (النسخة الخفيفة),Logo (version légère)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),الشعار (الإصدار الداكن),Logo (version sombre)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),الأيقونة المفضلة (الإصدار الخفيف),Icône de favori (version légère)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),الأيقونة المفضلة (الإصدار الداكن),Icône de favori (version sombre)
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO),Optimisation des moteurs de recherche (SEO)
Thumbnail Image:,Thumbnail Image:,Imagen en miniatura:,الصورة المصغرة:,Image miniature :
Social Title,Social Title,Título social,العنوان الاجتماعي,Titre social
Social Description,Social Description,Descripción social,الوصف الاجتماعي,Description sociale
401 - Unauthorized,401 - Unauthorized,401 - No autorizado,401 - غير مصرح به,401 - Non autorisé
Unauthorized...!,Unauthorized...!,No autorizado...!,غير مرخص...!,Non autorisé...!
403 - Forbidden,403 - Forbidden,403 - Prohibido,403 - ممنوع,403 - Interdit
Forbidden...!,Forbidden...!,Prohibido...!,مُحرَّم...!,Interdit...!
404 - Page Not Found,404 - Page Not Found,404 - Página no encontrada,404 - الصفحة غير موجودة,404 - Page introuvable
Page Not Found...!,Page Not Found...!,¡Página no encontrada...!,الصفحة غير موجودة...!,Page introuvable... !
419 - Page Expired,419 - Page Expired,419 - Página caducada,419 - انتهت صلاحية الصفحة,419 - Page expirée
Page Expired...!,Page Expired...!,¡Página caducada...!,انتهت الصفحة...!,Page expirée... !
500 - Server Error,500 - Server Error,500 - Error del servidor,500 - خطأ في الخادم,500 - Erreur du serveur
Server Error...!,Server Error...!,¡Error del servidor...!,خطأ في الخادم...!,Erreur de serveur... !
Public,Public,Público,عام,Publique
Login Now,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Connectez-vous maintenant
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información KYC con datos válidos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صالحة.,Veuillez soumettre vos informations KYC avec des données valides.
Back to,Back to,Volver a,العودة إلى,Retour à
Copyright,Copyright,Derechos de autor,حقوق الطبع والنشر,Droit d'auteur
Y,Y,Y,ي,Oui
All Rights Reserved.,All Rights Reserved.,Reservados todos los derechos.,جميع الحقوق محفوظة.,Tous droits réservés.
Account Authorization,Account Authorization,Autorización de cuenta,ترخيص الحساب,Autorisation de compte
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Por favor revise su bandeja de entrada de correo para obtener el código de autorización.,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التفويض,Besoin de vérifier votre compte. Veuillez vérifier votre boîte de réception pour obtenir le code d'autorisation
Authorize,Authorize,Autorizar,يأذن,Autoriser
Password Forgot,Password Forgot,Contraseña olvidada,نسيت كلمة المرور,Mot de passe oublié
Enter your account email or username to verify,Enter your account email or username to verify,Ingrese el correo electrónico o nombre de usuario de su cuenta para verificar,أدخل البريد الإلكتروني لحسابك أو اسم المستخدم للتحقق,Entrez l'e-mail ou le nom d'utilisateur de votre compte pour vérifier
Send Code,Send Code,Enviar código,إرسال الرمز,Envoyer le code
Password Reset,Password Reset,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialisation du mot de passe
Reset your password,Reset your password,Restablece tu contraseña,إعادة تعيين كلمة المرور الخاصة بك,Réinitialisez votre mot de passe
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,Verifique su dirección de correo electrónico para obtener la OTP (contraseña de un solo uso).,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة المرور لمرة واحدة).,Veuillez vérifier votre adresse e-mail pour obtenir l'OTP (mot de passe à usage unique).
Login Information,Login Information,Información de inicio de sesión,معلومات تسجيل الدخول,Informations de connexion
Please input your username and password and login to your account to get access to your dashboard.,Please input your username and password and login to your account to get access to your dashboard.,Ingrese su nombre de usuario y contraseña e inicie sesión en su cuenta para obtener acceso a su panel de control.,يرجى إدخال اسم المستخدم وكلمة المرور وتسجيل الدخول إلى حسابك لتتمكن من الوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir votre nom d'utilisateur et votre mot de passe et vous connecter à votre compte pour accéder à votre tableau de bord.
Or,Or,O,أو,Ou
Please input your details and register to your account to get access to your dashboard.,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,يرجى إدخال التفاصيل الخاصة بك والتسجيل في حسابك للوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir vos coordonnées et vous inscrire à votre compte pour accéder à votre tableau de bord.
I have read agreed with the,I have read agreed with the,He leído de acuerdo con el,لقد قرأت الاتفاق مع,J'ai lu d'accord avec le
"Terms Of Use , Privacy Policy & Warning","Terms Of Use , Privacy Policy & Warning","Términos de uso, política de privacidad y advertencia",شروط الاستخدام وسياسة الخصوصية والتحذير,"Conditions d'utilisation, politique de confidentialité et avertissement"
Register Now,Register Now,Regístrese ahora,سجل الآن,Inscrivez-vous maintenant
Already Have An Account,Already Have An Account,Ya tienes una cuenta,لديك حساب بالفعل,Vous avez déjà un compte
KYC Information,KYC Information,Información KYC,معلومات KYC,Informations KYC
Your KYC information is rejected.,Your KYC information is rejected.,Su información KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.,Vos informations KYC sont rejetées.
Verify KYC,Verify KYC,Verificar KYC,التحقق من KYC,Vérifier KYC
